trade_idx,id,source,coin,direction,entry_time,pnl_usd,win,macro,ema_4h,coin_wr,entry_dist,rsi_ok,ob_confirms,funding_contrarian,score,n_valid_factors
140,121,okx,TAO,SHORT,2026-04-14 15:08:06.247416+00:00,-0.02199999999997999,0,0,1.0,1.0,1,1.0,,,4,5
141,175,fortix,LINK,SHORT,2026-04-14 15:08:08.263339+00:00,1.7163999999999195,1,0,0.0,0.0,1,1.0,1.0,1.0,2,5
142,122,okx,LINK,SHORT,2026-04-14 15:08:08.264426+00:00,1.7163999999999195,1,0,0.0,1.0,1,1.0,,,3,5
143,173,fortix,DOGE,SHORT,2026-04-14 15:08:09.261044+00:00,2.3331999999999855,1,0,0.0,,1,1.0,1.0,1.0,2,4
144,123,okx,DOGE,SHORT,2026-04-14 15:08:09.261958+00:00,2.3331999999999855,1,0,0.0,1.0,1,1.0,,,3,5
145,172,fortix,RENDER,SHORT,2026-04-14 15:08:10.208501+00:00,0.26729999999997056,1,0,1.0,,1,1.0,1.0,0.0,3,4
146,124,okx,RENDER,SHORT,2026-04-14 15:08:10.209633+00:00,0.26729999999997056,1,0,1.0,1.0,1,1.0,,,4,5
147,171,fortix,LDO,SHORT,2026-04-14 15:08:11.156096+00:00,1.0884999999999663,1,0,0.0,0.0,1,1.0,1.0,1.0,2,5
148,125,okx,LDO,SHORT,2026-04-14 15:08:11.157836+00:00,1.0884999999999663,1,0,0.0,0.0,1,1.0,,,2,5
149,170,fortix,ETH,SHORT,2026-04-14 15:08:12.190230+00:00,1.9741400000000522,1,0,0.0,1.0,1,1.0,1.0,1.0,3,5
150,126,okx,ETH,SHORT,2026-04-14 15:08:12.191968+00:00,1.9741400000000522,1,0,0.0,1.0,1,1.0,,,3,5
151,189,fortix,ZAMA,LONG,2026-04-14 16:07:03.808745+00:00,4.34644221,1,1,,,1,,0.0,1.0,2,2
152,188,fortix,COAI,LONG,2026-04-14 16:07:14.039829+00:00,-10.05304476,0,1,,,1,,0.0,0.0,2,2
153,187,fortix,MYX,SHORT,2026-04-14 16:07:24.336594+00:00,-8.4175986,0,0,,,1,,1.0,0.0,1,2
154,183,fortix,LDO,LONG,2026-04-14 16:07:46.322715+00:00,-9.22234204,0,1,1.0,1.0,1,1.0,0.0,1.0,5,5
155,181,fortix,DOGE,SHORT,2026-04-14 16:09:51.616915+00:00,3.08535679,1,0,0.0,1.0,1,1.0,1.0,1.0,3,5
156,180,fortix,ETH,SHORT,2026-04-14 16:09:53.085013+00:00,3.47923346,1,0,0.0,1.0,1,1.0,1.0,0.0,3,5
157,201,fortix,ENJ,SHORT,2026-04-14 17:07:24.993717+00:00,3.84032545,1,0,,,1,,1.0,0.0,1,2
158,200,fortix,ZAMA,SHORT,2026-04-14 17:17:27.015104+00:00,4.6736273,1,0,,,1,,1.0,0.0,1,2
159,127,okx,AVAX,LONG,2026-04-14 23:08:15.041092+00:00,15.050000000000212,1,1,1.0,1.0,1,1.0,,,5,5
160,128,okx,LINK,LONG,2026-04-14 23:08:15.041168+00:00,28.922999999999995,1,1,1.0,1.0,1,1.0,,,5,5
161,129,okx,ETH,LONG,2026-04-14 23:08:15.041235+00:00,24.43200000000015,1,1,1.0,1.0,1,1.0,,,5,5
162,130,okx,LDO,LONG,2026-04-14 23:08:15.041303+00:00,10.397400000000186,1,1,1.0,0.0,1,1.0,,,4,5
163,131,okx,BTC,LONG,2026-04-14 23:08:15.041367+00:00,21.826799999999725,1,1,1.0,0.0,1,1.0,,,4,5
